Date,Close,QuarterKey,BVPS_ref,PB_daily,DataSupportLevel,Status
2026-01-28,225.5,2026Q1,127.12,1.774,PRECISE,BACKFILLED
2026-01-29,224.0,2026Q1,127.12,1.762,PRECISE,BACKFILLED
2026-01-30,220.5,2026Q1,127.12,1.735,PRECISE,BACKFILLED
2026-02-02,214.5,2026Q1,127.12,1.687,PRECISE,BACKFILLED
2026-02-03,216.5,2026Q1,127.12,1.703,PRECISE,BACKFILLED
2026-02-04,219.0,2026Q1,127.12,1.723,PRECISE,BACKFILLED
2026-02-05,215.5,2026Q1,127.12,1.695,PRECISE,BACKFILLED
2026-02-06,215.0,2026Q1,127.12,1.691,PRECISE,BACKFILLED
2026-02-09,218.5,2026Q1,127.12,1.719,PRECISE,BACKFILLED
2026-02-10,221.0,2026Q1,127.12,1.739,PRECISE,BACKFILLED
2026-02-11,227.0,2026Q1,127.12,1.786,PRECISE,BACKFILLED
2026-02-23,228.5,2026Q1,127.12,1.798,PRECISE,BACKFILLED
2026-02-24,232.0,2026Q1,127.12,1.825,PRECISE,BACKFILLED
2026-02-25,246.5,2026Q1,127.12,1.939,PRECISE,BACKFILLED
2026-02-26,243.0,2026Q1,127.12,1.912,PRECISE,BACKFILLED
2026-03-02,239.0,2026Q1,127.12,1.88,PRECISE,BACKFILLED
2026-03-03,229.0,2026Q1,127.12,1.801,PRECISE,BACKFILLED
2026-03-04,217.0,2026Q1,127.12,1.707,PRECISE,BACKFILLED
2026-03-05,224.0,2026Q1,127.12,1.762,PRECISE,BACKFILLED
2026-03-06,223.0,2026Q1,127.12,1.754,PRECISE,BACKFILLED
2026-03-09,210.5,2026Q1,127.12,1.656,PRECISE,BACKFILLED
2026-03-10,209.5,2026Q1,127.12,1.648,PRECISE,BACKFILLED
2026-03-11,219.0,2026Q1,127.12,1.723,PRECISE,BACKFILLED
2026-03-12,214.5,2026Q1,127.12,1.687,PRECISE,BACKFILLED
2026-03-13,214.5,2026Q1,127.12,1.687,PRECISE,BACKFILLED
2026-03-16,216.5,2026Q1,127.12,1.703,PRECISE,BACKFILLED
2026-03-17,212.0,2026Q1,127.12,1.668,PRECISE,BACKFILLED
2026-03-18,210.0,2026Q1,127.12,1.652,PRECISE,BACKFILLED
2026-03-19,205.0,2026Q1,127.12,1.613,PRECISE,BACKFILLED
2026-03-20,203.0,2026Q1,127.12,1.597,PRECISE,BACKFILLED
2026-03-23,196.0,2026Q1,127.12,1.542,PRECISE,BACKFILLED
2026-03-24,195.0,2026Q1,127.12,1.534,PRECISE,BACKFILLED
2026-03-25,200.0,2026Q1,127.12,1.573,PRECISE,BACKFILLED
2026-03-26,200.5,2026Q1,127.12,1.577,PRECISE,BACKFILLED
2026-03-27,199.5,2026Q1,127.12,1.569,PRECISE,BACKFILLED
2026-03-30,194.0,2026Q1,127.12,1.526,PRECISE,BACKFILLED
2026-03-31,187.5,2026Q1,127.12,1.475,PRECISE,BACKFILLED
2026-04-01,197.0,2026Q1,127.12,1.55,PRECISE,BACKFILLED
2026-04-02,193.0,2026Q1,127.12,1.518,PRECISE,BACKFILLED
2026-04-07,192.0,2026Q1,127.12,1.51,PRECISE,BACKFILLED
2026-04-08,201.5,2026Q1,127.12,1.585,PRECISE,BACKFILLED
2026-04-09,200.0,2026Q1,127.12,1.573,PRECISE,BACKFILLED
2026-04-10,200.5,2026Q1,127.12,1.577,PRECISE,BACKFILLED
2026-04-13,200.0,2026Q1,127.12,1.573,PRECISE,BACKFILLED
2026-04-14,207.5,2026Q1,127.12,1.632,PRECISE,BACKFILLED
2026-04-15,207.5,2026Q1,127.12,1.632,PRECISE,BACKFILLED
2026-04-16,207.0,2026Q1,127.12,1.628,PRECISE,BACKFILLED
2026-04-17,206.0,2026Q1,127.12,1.621,PRECISE,BACKFILLED
2026-04-20,207.5,2026Q1,127.12,1.632,PRECISE,BACKFILLED
2026-04-21,211.0,2026Q1,127.12,1.66,PRECISE,BACKFILLED
2026-04-22,221.0,2026Q1,127.12,1.739,PRECISE,BACKFILLED
2026-04-23,225.0,2026Q1,127.12,1.77,PRECISE,BACKFILLED
2026-04-24,221.5,2026Q1,127.12,1.742,PRECISE,BACKFILLED
2026-04-27,228.0,2026Q1,127.12,1.794,PRECISE,BACKFILLED
2026-04-28,225.5,2026Q1,127.12,1.774,PRECISE,BACKFILLED
2026-04-29,225.0,2026Q1,127.12,1.77,PRECISE,BACKFILLED
2026-04-30,219.5,2026Q1,127.12,1.727,PRECISE,BACKFILLED
2026-05-04,227.5,2026Q1,127.12,1.79,PRECISE,BACKFILLED
2026-05-05,239.5,2026Q1,127.12,1.884,PRECISE,BACKFILLED
2026-05-06,252.0,2026Q1,127.12,1.982,PRECISE,BACKFILLED
2026-05-07,253.5,2026Q1,127.12,1.994,PRECISE,BACKFILLED
2026-05-08,250.0,2026Q1,127.12,1.967,PRECISE,BACKFILLED
2026-05-11,252.0,2026Q1,127.12,1.982,PRECISE,BACKFILLED
2026-05-12,250.0,2026Q1,127.12,1.967,PRECISE,BACKFILLED
2026-05-13,251.0,2026Q1,127.12,1.975,PRECISE,BACKFILLED
2026-05-14,244.5,2026Q1,127.12,1.923,PRECISE,BACKFILLED
2026-05-15,248.5,2026Q1,127.12,1.955,PRECISE,BACKFILLED
2026-05-18,248.5,2026Q1,127.12,1.955,PRECISE,BACKFILLED
2026-05-19,245.0,2026Q1,127.12,1.927,PRECISE,BACKFILLED
2026-05-20,240.0,2026Q1,127.12,1.888,PRECISE,BACKFILLED
2026-05-21,247.5,2026Q1,127.12,1.947,PRECISE,BACKFILLED
2026-05-22,250.0,2026Q1,127.12,1.967,PRECISE,BACKFILLED
2026-05-25,261.0,2026Q1,127.12,2.053,PRECISE,BACKFILLED
2026-05-26,259.0,2026Q1,127.12,2.037,PRECISE,BACKFILLED
2026-05-27,264.0,2026Q1,127.12,2.077,PRECISE,BACKFILLED
2026-05-28,263.0,2026Q1,127.12,2.069,PRECISE,BACKFILLED
2026-05-29,289.0,2026Q1,127.12,2.273,PRECISE,BACKFILLED
2026-06-01,293.5,2026Q1,127.12,2.309,PRECISE,BACKFILLED
2026-06-02,301.5,2026Q1,127.12,2.372,PRECISE,BACKFILLED
2026-06-03,309.0,2026Q1,127.12,2.431,PRECISE,BACKFILLED
2026-06-04,293.0,2026Q1,127.12,2.305,PRECISE,BACKFILLED
2026-06-05,284.5,2026Q1,127.12,2.238,PRECISE,BACKFILLED
2026-06-08,269.5,2026Q1,127.12,2.12,PRECISE,BACKFILLED
2026-06-09,277.5,2026Q1,127.12,2.183,PRECISE,BACKFILLED
2026-06-10,263.0,2026Q1,127.12,2.069,PRECISE,BACKFILLED
2026-06-11,258.5,2026Q1,127.12,2.034,PRECISE,BACKFILLED
2026-06-12,260.5,2026Q1,127.12,2.049,PRECISE,BACKFILLED
2026-06-15,267.5,2026Q1,127.12,2.104,PRECISE,BACKFILLED
2026-06-16,269.0,2026Q1,127.12,2.116,PRECISE,BACKFILLED
2026-06-17,272.0,2026Q1,127.12,2.14,PRECISE,OK
2026-06-18,268.5,2026Q1,127.12,2.112,PRECISE,OK
2026-06-22,268.5,2026Q1,127.12,2.112,OFFICIAL_TWSE_A1,OK
2026-06-23,259.5,2026Q1,127.12,2.041,OFFICIAL_TWSE_A1,OK
2026-06-24,256.0,2026Q1,127.12,2.014,OFFICIAL_TWSE_A1,OK
2026-06-25,257.5,2026Q1,127.12,2.026,OFFICIAL_TWSE_A1,OK
2026-06-26,248.5,2026Q1,127.12,1.955,OFFICIAL_TWSE_A1,OK
2026-06-29,246.5,2026Q1,127.12,1.939,OFFICIAL_TWSE_A1,OK
2026-06-30,251.0,2026Q1,127.12,1.975,OFFICIAL_TWSE_STOCK_DAY,OK
2026-07-01,248.0,2026Q1,127.12,1.951,OFFICIAL_TWSE_A1,OK
2026-07-02,239.0,2026Q1,127.12,1.88,OFFICIAL_TWSE_A1,OK
2026-07-03,240.5,2026Q1,127.12,1.892,OFFICIAL_TWSE_A1,OK
2026-07-06,242.0,2026Q1,127.12,1.904,OFFICIAL_TWSE_A1,OK
2026-07-07,237.0,2026Q1,127.12,1.864,OFFICIAL_TWSE_A1,OK
2026-07-08,237.5,2026Q1,127.12,1.868,OFFICIAL_TWSE_A1,OK
2026-07-09,237.5,2026Q1,127.12,1.868,OFFICIAL_TWSE_A1,OK
2026-07-13,236.5,2026Q1,127.12,1.86,OFFICIAL_TWSE_A1,OK
2026-07-14,235.5,2026Q1,127.12,1.853,OFFICIAL_TWSE_A1,OK
2026-07-15,239.0,2026Q1,127.12,1.88,OFFICIAL_TWSE_A1,OK
2026-07-16,242.5,2026Q1,127.12,1.908,OFFICIAL_TWSE_A1,OK
2026-07-17,234.0,2026Q1,127.12,1.841,OFFICIAL_TWSE_A1,OK
2026-07-20,234.5,2026Q1,127.12,1.845,OFFICIAL_TWSE_A1,OK
2026-07-21,246.0,2026Q1,127.12,1.935,OFFICIAL_TWSE_A1,OK
2026-07-22,251.50,2026Q1,127.12,1.978,OFFICIAL_TWSE_A1,OK
2026-07-23,257.5,2026Q1,127.12,2.026,OFFICIAL_TWSE_A1,OK
